year,growth_rate,revenue,operating_margin,ebit,nopat,capex,depreciation,net_capex,delta_nwc,fcff
1,0.155,32643649500.0,0.33139063578047545,10817799762.0,8978773802.46,2285055465.0,979309485.0,1305745980.0,744727415.0,6928300407.459999
2,0.116,36430312842.0,0.3435429768353566,12515378120.784,10387763840.25072,2550121898.94,1092909385.26,1457212513.68,643732768.1400001,8286818558.430718
3,0.151,41931290081.142,0.3556953178902377,14914763554.959576,12379253750.616447,2935190305.67994,1257938702.43426,1677251603.2456803,935166130.6541398,9766836016.716627
4,0.143,47927464562.74531,0.3678476589451189,17630005638.58101,14632904680.022236,3354922519.392172,1437823936.8823593,1917098582.5098126,1019349661.8725628,11696456435.63986
5,0.083,51905444121.45316,0.38,19724068766.152203,16370977075.906328,3633381088.501722,1557163323.6435947,2076217764.858127,676256524.9803355,13618502786.067865
6,0.0784,55974830940.575096,0.38,21270435757.418537,17654461678.657387,3918238165.840257,1679244928.2172527,2238993237.6230044,691795759.2507286,14723672681.783653
7,0.0738,60105773463.98954,0.38,22840193916.316025,18957360950.5423,4207404142.479268,1803173203.919686,2404230938.5595818,702260228.9804555,15850869783.002264
8,0.0692,64265092987.69761,0.38,24420735335.325092,20269210328.319824,4498556509.138833,1927952789.6309283,2570603719.507905,707084319.0303718,16991522289.781548
9,0.06459999999999999,68416617994.70287,0.38,25998314837.98709,21578601315.529285,4789163259.629202,2052498539.8410861,2736664719.7881155,705759251.190895,18136177344.550274
10,0.06,72521615074.38506,0.38,27558213728.266323,22873317394.46105,5076513055.206954,2175648452.2315516,2900864602.9754024,697849503.545971,19274603287.939674
