fiscal_year_end,fiscal_year,accounts_payable,accounts_receivable,capex,cash,contract_liabilities,cost_of_revenue,current_portion_long_term_debt,depreciation,dividends_paid,gross_profit,income_tax_expense,interest_expense,inventory,long_term_debt,net_income,operating_cash_flow,operating_income,rd_expense,revenue,sga_expense,share_buybacks,shares_outstanding,shares_outstanding_basic,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities
2015-12-31,2015,418894000.0,803696000.0,371770000.0,2458717000.0,,3391631000.0,,296884000.0,302310000.0,2895744000.0,161446000.0,27400000.0,2573730000.0,1027825000.0,1387174000.0,2025580000.0,1565135000.0,,6287375000.0,345732000.0,564887000.0,427986682.0,430639000.0,13295031000.0,7707701000.0,3107172000.0,8388831000.0,4906200000.0
2016-12-31,2016,593197000.0,700206000.0,316338000.0,2906868000.0,1833800000.0,3750272000.0,,356928000.0,445865000.0,3044480000.0,219484000.0,38000000.0,2780878000.0,3035463000.0,1471894000.0,1665906000.0,1657734000.0,,6875100000.0,374760000.0,400000000.0,429941232.0,425598000.0,17205961000.0,8557429000.0,3280596000.0,9820481000.0,7385480000.0
2017-12-31,2017,837300000.0,1772300000.0,338900000.0,2259000000.0,1530000000.0,4976100000.0,,417500000.0,516700000.0,4076700000.0,310700000.0,57500000.0,2958400000.0,3007600000.0,2118500000.0,1818300000.0,2496200000.0,1259700000.0,8962700000.0,416600000.0,500000000.0,427393592.0,429800000.0,18196400000.0,9007000000.0,3341900000.0,10676200000.0,7520200000.0
2018-12-31,2018,964000000.0,1498200000.0,574000000.0,3121100000.0,1728600000.0,5914800000.0,1800000.0,422700000.0,597100000.0,5029200000.0,351600000.0,41800000.0,3439500000.0,3005700000.0,2591600000.0,3072700000.0,2965300000.0,1575900000.0,10944000000.0,488000000.0,1146200000.0,421097729.0,424900000.0,20136900000.0,10531400000.0,3791900000.0,11641000000.0,8495900000.0
2019-12-31,2019,1062200000.0,1786800000.0,766600000.0,3532300000.0,2526400000.0,6540200000.0,0.0,448500000.0,1325700000.0,5279800000.0,191700000.0,36600000.0,3809200000.0,3108300000.0,2592300000.0,3276400000.0,2790800000.0,1968500000.0,11820000000.0,520500000.0,410000000.0,419810706.0,420800000.0,22629600000.0,12131100000.0,4694100000.0,12592200000.0,10037400000.0
2020-12-31,2020,1377900000.0,1310300000.0,962000000.0,6049400000.0,3954200000.0,7181300000.0,15400000.0,490800000.0,1066400000.0,6797200000.0,551500000.0,43300000.0,4569400000.0,4662800000.0,3553700000.0,4627600000.0,4051500000.0,2200800000.0,13978500000.0,544900000.0,1207500000.0,416514034.0,418300000.0,27267400000.0,15930000000.0,6603500000.0,13865400000.0,13402000000.0
2021-12-31,2021,2116300000.0,3028000000.0,900700000.0,6951800000.0,7935200000.0,8802000000.0,509100000.0,471000000.0,1368300000.0,9809000000.0,1021400000.0,54600000.0,5179200000.0,4075000000.0,5883200000.0,10845800000.0,6750100000.0,2547000000.0,18611000000.0,725600000.0,8560300000.0,402601613.0,409800000.0,30231000000.0,18190200000.0,12298000000.0,10140600000.0,20090400000.0
2022-12-31,2022,2565200000.0,5323800000.0,1281800000.0,7268300000.0,12481000000.0,10473300000.0,746200000.0,583600000.0,2559800000.0,10700100000.0,969900000.0,60800000.0,7199700000.0,3514200000.0,5624200000.0,8486800000.0,6500700000.0,3253500000.0,21173400000.0,945900000.0,4639700000.0,394589411.0,397700000.0,36300400000.0,23064900000.0,17983600000.0,8810800000.0,27489600000.0
2023-12-31,2023,2347300000.0,4334100000.0,2155600000.0,7004700000.0,11441000000.0,13422400000.0,100000.0,739800000.0,2348300000.0,14136100000.0,1435800000.0,152700000.0,8850700000.0,4631500000.0,7839000000.0,5443400000.0,9042300000.0,3980600000.0,27558500000.0,1113200000.0,1000000000.0,393421721.0,393800000.0,39957500000.0,24393900000.0,16274700000.0,13452400000.0,26505100000.0
2024-12-31,2024,3500400000.0,4477500000.0,2067200000.0,12735900000.0,12570800000.0,13770900000.0,1010300000.0,918600000.0,2452900000.0,14492000000.0,1680600000.0,162600000.0,10891500000.0,3677300000.0,7571600000.0,11166200000.0,9022600000.0,4303700000.0,28262900000.0,1165700000.0,500000000.0,393283720.0,393300000.0,48589600000.0,30737400000.0,20051400000.0,18476800000.0,30112800000.0
