fiscal_year_end,fiscal_year,nwc,delta_nwc,dso,dio,dpo,ccc
2015-12-31,2015,2958532000.0,,46.6568385057357,276.9792616000974,45.080467185256886,278.5556329205762
2016-12-31,2016,2887887000.0,-70645000.0,37.174032377710866,270.6524940057681,57.73365371898359,250.09287266449542
2017-12-31,2017,3893400000.0,1005513000.0,72.17573945351289,217.00046220936073,61.41647073008983,227.75973093278378
2018-12-31,2018,3973700000.0,80300000.0,49.96737938596491,212.25020288090892,59.48806383985933,202.72951842701448
2019-12-31,2019,4533800000.0,560100000.0,55.176142131979695,212.58646524571117,59.279991437570715,208.48261594012016
2020-12-31,2020,4501800000.0,-32000000.0,34.21393568694781,232.24638992939998,70.03376825922884,196.42655735711895
2021-12-31,2021,6090900000.0,1589100000.0,59.38530976304337,214.77027948193592,87.75840718018631,186.397182064793
2022-12-31,2022,9958300000.0,3867400000.0,91.77491569610926,250.9133224485119,89.3985658770397,253.28967226758147
2023-12-31,2023,10837500000.0,879200000.0,57.403214979044584,240.6801689712719,63.8309467755394,234.25243717477707
2024-12-31,2024,11868600000.0,1031100000.0,57.824480148887766,288.68102302681746,92.77868548896585,253.72681768673937
